question_id,source_pdf,source_page,missing_element,asset_path,width_px,height_px,sha256,teacher_answer_mark_included,review_status,chapter_relation_count,production_rendered
20100131_006,에너지관리기능사20100131(교사용).pdf,1,풍량·통풍압·효율로 소요동력을 구하는 4개 수식 선택지,src/assets/questions/energy-management/20100131_006.png,1030,850,8bf293b1dec2a1e36b09c06d840ba3aeab1f23a298455e35fe52e9aca4c58c55,false,jpg 확필,0,false
20110213_035,에너지관리기능사20110213(교사용).pdf,2,기름보일러 수동조작 점화요령 ①~④ 보기 박스,src/assets/questions/energy-management/20110213_035.png,875,310,0b83bdf7efde8e73fbc36641bb1307d762e6b0ef60b0a406dce345631644dddd,false,jpg 확필,0,false
20110731_005,에너지관리기능사20110731(교사용).pdf,1,관조인트 그림기호,src/assets/questions/energy-management/20110731_005.png,280,120,2c85bf647fba18205686c61608fdca50048eca0b326b6f4ce2d41dc090a19203,false,jpg 확필,0,false
20110731_027,에너지관리기능사20110731(교사용).pdf,2,증기유량검출기·수위검출기·수위조절기·급수밸브 제어도,src/assets/questions/energy-management/20110731_027.png,980,365,5bac560bf7cd061dad723990af270c24770fad8c76628d770cc4c56dedf23fa8,false,jpg 확필,0,false
20110731_056,에너지관리기능사20110731(교사용).pdf,4,저탄소 녹색성장 기본법 목적의 ①·② 빈칸이 포함된 보기 박스,src/assets/questions/energy-management/20110731_056.png,980,385,d8ff0c94d50100f02cd44ea53ac9492f033a42c8bcf586ef34305ac7c34c18c0,false,jpg 확필,0,false
20120212_021,에너지관리기능사20120212(교사용).pdf,2,밸브 그림기호,src/assets/questions/energy-management/20120212_021.png,390,135,a9a6090131a76bb8e59ea7ae8a862a1ab81a05048523811993727b80c499f8e8,false,jpg 확필,0,false
20120408_007,에너지관리기능사20120408(교사용).pdf,1,송풍기의 형상·구조·용도를 설명하는 보기 박스,src/assets/questions/energy-management/20120408_007.png,950,350,a0e5a281c834d10022fd561b8418957d445f732251bd67ea0f8e1681278fb7c0,false,jpg 확필,0,false
20120408_020,에너지관리기능사20120408(교사용).pdf,2,1보일러 마력 정의의 빈칸이 포함된 보기 박스,src/assets/questions/energy-management/20120408_020.png,990,165,0e10c6f5d1aae8ebe8083ccf2132e161cb73ee8e34af6e22f26fe78790831817,false,jpg 확필,0,false
20120408_028,에너지관리기능사20120408(교사용).pdf,2,동력 나사절삭기 구조 그림,src/assets/questions/energy-management/20120408_028.png,1100,600,598570a9ef0ececb9de14155edda84d7dc8487c10561768d409138cb22aed1dc,false,jpg 확필,0,false
20120722_052,에너지관리기능사20120722(교사용).pdf,3,철금속가열로 송풍기 용량 기준의 빈칸 보기 박스,src/assets/questions/energy-management/20120722_052.png,1010,155,dc139379bc6a188bc9f4a2cd13c9e457c4eb820073e16d16f5b3c828661eb7c7,false,jpg 확필,0,false
20121020_042,에너지관리기능사20121020(교사용).pdf,3,관 결합방식의 4개 그림기호 선택지,src/assets/questions/energy-management/20121020_042.png,1060,390,e08705d96ed325b9a2347a841253a9de5fdbdb0d059f977346726f3df4a5ea0d,false,jpg 확필,0,false
20121020_052,에너지관리기능사20121020(교사용).pdf,4,H1~H4 부하 정의 보기 박스,src/assets/questions/energy-management/20121020_052.png,700,175,7bb5c3abe1872b8741d4f9f6ca74c603e3a07d8cceac9941ab2e8ff06a55b621,false,jpg 확필,0,false
20130414_012,에너지관리기능사20130414(교사용).pdf,1,집진장치 종류와 형식의 ①~④ 연결 보기 박스,src/assets/questions/energy-management/20130414_012.png,860,275,b2996ef32a448447a94eb888ac8f3efa1e4cbbcf8f9d88f5ae3d514afa6de912,false,jpg 확필,0,false
20130414_024,에너지관리기능사20130414(교사용).pdf,2,플랜지식 관 결합방식의 4개 그림기호 선택지,src/assets/questions/energy-management/20130414_024.png,600,590,b84ebd29e23729434b50cfa9391bb3fc5750292fc021126c95bb9d5f1d20d4e1,false,jpg 확필,0,false
20130414_026,에너지관리기능사20130414(교사용).pdf,2,보일러 운전정지 단계 ①~④ 보기 박스,src/assets/questions/energy-management/20130414_026.png,880,260,dc7c1e11bcc3a40388d7eb1399ae236654c0f22e88610ba24bcfdd41acb9b6de,false,jpg 확필,0,false
20130414_047,에너지관리기능사20130414(교사용).pdf,3,개방 표면에서 발생하는 피트(양극) 부식 그림,src/assets/questions/energy-management/20130414_047.png,920,445,05aa777c0e2985ffd27b894d364fcf5538d6b96de8bd4271adb545421c74b032,false,jpg 확필,0,false
20130721_044,에너지관리기능사20130721(교사용).pdf,3,용접이음 표시의 4개 그림기호 선택지,src/assets/questions/energy-management/20130721_044.png,1060,390,bdc6282e8a75d54ea83a8d5b71bd2f736ddd887fd05a76077eeaa66ac936f971,false,jpg 확필,0,false
20130721_057,에너지관리기능사20130721(교사용).pdf,4,H1~H4 부하 정의 보기 박스,src/assets/questions/energy-management/20130721_057.png,730,180,0805602d0522abda30bb5e010d76fa5497364f2fc617cea1c766a0daeccc8a0e,false,jpg 확필,0,false
20140406_014,에너지관리기능사20140406(교사용).pdf,1,통풍방식의 특징을 제시한 보기 박스,src/assets/questions/energy-management/20140406_014.png,964,299,6e900d1ec107d17142f593e4ccae2176228db3761bfe8c3fdea50e9ea3884a31,false,jpg 확필,0,false
20140406_031,에너지관리기능사20140406(교사용).pdf,2,상당증발량 Ge 계산식,src/assets/questions/energy-management/20140406_031.png,632,199,228f5744b1dcaefb2755acba5bf94a6687c0374a0ad6ef4b20dad1e5b733c8d8,false,jpg 확필,0,false
20140720_041,에너지관리기능사20140720(교사용).pdf,3,냉동용 배관 결합 방식의 그림기호 선택지 4개,src/assets/questions/energy-management/20140720_041.png,408,555,eb9621624de8f06fa50a3ebdc2af0729e9e9c5ae95e51ba686c292b4aef950e4,false,jpg 확필,0,false
20141011_049,에너지관리기능사20141011(교사용).pdf,3,20A 강관과 엘보의 배관 치수도,src/assets/questions/energy-management/20141011_049.png,506,283,1ed8942bdebf89888a43cde038e8a2e5df5eadb339e69e29a23ec8a62d1d55a4,false,jpg 확필,0,false
20141011_056,에너지관리기능사20141011(교사용).pdf,4,온실가스 정의의 빈칸이 포함된 보기 박스,src/assets/questions/energy-management/20141011_056.png,944,339,5573a4385e3bfb1d297c7fb09f67c857c7b5b692ba0f47628932eea9109a3cce,false,jpg 확필,0,false
20150125_048,에너지관리기능사20150125(교사용).pdf,3,보일러 운전정지 단계 가-라 보기 박스,src/assets/questions/energy-management/20150125_048.png,699,326,31032ac1252f5798e479100fb122905342ccd797aee9ab9add1363da69fcb29f,false,jpg 확필,0,false
20150404_004,에너지관리기능사20150404(교사용).pdf,1,송풍기의 특징을 설명한 보기 박스,src/assets/questions/energy-management/20150404_004.png,959,464,524752b3a751bc50bcca4424a8edfc2ba8d7348e1a2f82cc81a413268689f0cd,false,jpg 확필,0,false
