question_id,source_student_pdf,source_student_pdf_sha256,source_teacher_pdf,source_teacher_pdf_sha256,source_pages,stored_answer,source_answer,answer_match,asset_required,crop_mode,source_image_count,asset_path,width_px,height_px,asset_sha256,teacher_answer_mark_included,review_status,alt_text
20220424_007,산업안전기사20220424(학생용).pdf,3b6c27b72424a7c4e2f6406716f73802605038cd9fa82a086812718a41467d18,산업안전기사20220424(교사용).pdf,1b4c5de7b03b7b49b986ddbf69455c3454cd99dbab03af991e4ac4f6bc35452b,1+1,3,3,True,True,embedded-visual,1,src/assets/questions/industrial-safety/20220424_007.png,948,408,eac46d0dd827d441f5ec9a55b624d06c15045aa7f7ea85cfb86cce12023d9f15,False,jpg 확필,"산업안전보건법령상 안전보건관리규정 작성 시 포함되어야 하는 사항을 모두 고른 것은? (단, 그 밖에 안전 및 보건에 관한 사항은 제외한다.) 문항에 제시된 원본 표·수식·도형"
20220424_002,산업안전기사20220424(학생용).pdf,3b6c27b72424a7c4e2f6406716f73802605038cd9fa82a086812718a41467d18,산업안전기사20220424(교사용).pdf,1b4c5de7b03b7b49b986ddbf69455c3454cd99dbab03af991e4ac4f6bc35452b,1,3,3,True,True,embedded-visual,1,src/assets/questions/industrial-safety/20220424_002.png,782,408,dd5c3226bef607a531b3717c46c569c2d95b97e73e0a422d31f3ed49f41dbfd1,False,jpg 확필,A사업장의 현황이 다음과 같을 때 이 사업장의 강도율은? 문항에 제시된 원본 표·수식·도형
20220424_003,산업안전기사20220424(학생용).pdf,3b6c27b72424a7c4e2f6406716f73802605038cd9fa82a086812718a41467d18,산업안전기사20220424(교사용).pdf,1b4c5de7b03b7b49b986ddbf69455c3454cd99dbab03af991e4ac4f6bc35452b,1,2,2,True,True,embedded-visual,1,src/assets/questions/industrial-safety/20220424_003.png,794,155,b9da550f90aba18466ad53ff4caa242866b428a74ca7c616b00f5fb7eaa2ae71,False,jpg 확필,보호구 자율안전확인 고시상 자율안전확인 보호구에 표시하여야 하는 사항을 모두 고른 것은? 문항에 제시된 원본 표·수식·도형
20220424_023,산업안전기사20220424(학생용).pdf,3b6c27b72424a7c4e2f6406716f73802605038cd9fa82a086812718a41467d18,산업안전기사20220424(교사용).pdf,1b4c5de7b03b7b49b986ddbf69455c3454cd99dbab03af991e4ac4f6bc35452b,2+2,4,4,True,True,embedded-visual,1,src/assets/questions/industrial-safety/20220424_023.png,960,290,d25e321c772adda342908cb77e166f8994d08caabdc439621a7207bcef418541,False,jpg 확필,"A작업의 평균에너지소비량이 다음과 같을 때, 60분간의 총 작업시간 내에 포함되어야 하는 휴식시간(분)은? 문항에 제시된 원본 표·수식·도형"
20220424_030,산업안전기사20220424(학생용).pdf,3b6c27b72424a7c4e2f6406716f73802605038cd9fa82a086812718a41467d18,산업안전기사20220424(교사용).pdf,1b4c5de7b03b7b49b986ddbf69455c3454cd99dbab03af991e4ac4f6bc35452b,3,4,4,True,True,embedded-visual,4,src/assets/questions/industrial-safety/20220424_030.png,700,454,1304a360a2ff1afbd968525a845becedc7918d85d8633ca45541c5bdf6cf4566,False,jpg 확필,FTA(Fault Tree Analysis)에서 사용되는 사상 기호 중 통상의 작업이나 기계의 상태에서 재해의 발생 원인이 되는 요소가 있는 것은? 문항에 제시된 원본 표·수식·도형
20220424_028,산업안전기사20220424(학생용).pdf,3b6c27b72424a7c4e2f6406716f73802605038cd9fa82a086812718a41467d18,산업안전기사20220424(교사용).pdf,1b4c5de7b03b7b49b986ddbf69455c3454cd99dbab03af991e4ac4f6bc35452b,2,2,2,True,True,embedded-visual,1,src/assets/questions/industrial-safety/20220424_028.png,763,614,e7fd398a9ec490ac1baa6e85636db5d4556b56fde8599933a16cbdf3333015ff,False,jpg 확필,"그림과 같은 FT도에 대한 최소 컷셋(minmal cut sets)으로 옳은 것은? (단, Fussell의 알고리즘을 따른다.) 문항에 제시된 원본 표·수식·도형"
20220424_032,산업안전기사20220424(학생용).pdf,3b6c27b72424a7c4e2f6406716f73802605038cd9fa82a086812718a41467d18,산업안전기사20220424(교사용).pdf,1b4c5de7b03b7b49b986ddbf69455c3454cd99dbab03af991e4ac4f6bc35452b,3,4,4,True,True,embedded-visual,1,src/assets/questions/industrial-safety/20220424_032.png,628,168,ddc4cc81155c35a399fc379356637711c5e2202ce2b3c26e2cb17d00d5657976,False,jpg 확필,근골격계질환 작업분석 및 평가 방법인 OWAS의 평가요소를 모두 고른 것은? 문항에 제시된 원본 표·수식·도형
20220424_034,산업안전기사20220424(학생용).pdf,3b6c27b72424a7c4e2f6406716f73802605038cd9fa82a086812718a41467d18,산업안전기사20220424(교사용).pdf,1b4c5de7b03b7b49b986ddbf69455c3454cd99dbab03af991e4ac4f6bc35452b,3,3,3,True,True,embedded-visual,4,src/assets/questions/industrial-safety/20220424_034.png,745,560,6aeed688cff74aaa9fbaf0ce8392433fb59babfe4acdb2497f2b08127992b433,False,jpg 확필,"n개의 요소를 가진 병렬 시스템에 있어 요소의 수명(MTTF)이 지수 분포를 따를 경우, 이 시스템의 수명으로 옳은 것은? 문항에 제시된 원본 표·수식·도형"
20220424_031,산업안전기사20220424(학생용).pdf,3b6c27b72424a7c4e2f6406716f73802605038cd9fa82a086812718a41467d18,산업안전기사20220424(교사용).pdf,1b4c5de7b03b7b49b986ddbf69455c3454cd99dbab03af991e4ac4f6bc35452b,3,3,3,True,True,embedded-visual,1,src/assets/questions/industrial-safety/20220424_031.png,747,86,54aea80e9bd694efae4668a91b31ab4aaef37eaf0bbaed47cf7ce92d30683802,False,jpg 확필,불(Bool) 대수의 정리를 나타낸 관계식 중 틀린 것은? 문항에 제시된 원본 표·수식·도형
20220424_040,산업안전기사20220424(학생용).pdf,3b6c27b72424a7c4e2f6406716f73802605038cd9fa82a086812718a41467d18,산업안전기사20220424(교사용).pdf,1b4c5de7b03b7b49b986ddbf69455c3454cd99dbab03af991e4ac4f6bc35452b,3,3,3,True,True,embedded-visual,1,src/assets/questions/industrial-safety/20220424_040.png,947,168,ee27f8f6c98ab7a17a8e1899930e273759ce1ddf8cf9c26292d95908d2768018,False,jpg 확필,1 sone에 관한 설명으로 ( )에 알맞은 수치는? 문항에 제시된 원본 표·수식·도형
20220424_072,산업안전기사20220424(학생용).pdf,3b6c27b72424a7c4e2f6406716f73802605038cd9fa82a086812718a41467d18,산업안전기사20220424(교사용).pdf,1b4c5de7b03b7b49b986ddbf69455c3454cd99dbab03af991e4ac4f6bc35452b,6,3,3,True,True,embedded-visual,4,src/assets/questions/industrial-safety/20220424_072.png,938,757,48136094bd108b82269a2411a6e1a8657343bd1bff30064dce1cbbe14ad4a9d0,False,jpg 확필,아크방전의 전압전류 특성으로 가장 옳은 것은? 문항에 제시된 원본 표·수식·도형
